element,opponent_team_name,total_points,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
7,Newcastle,1,6,69,0,0,0,1,0,0,0,1,0,0,0,0,3,3,0,3,1,0.10,0.04,0.14,0.53
7,West Ham,6,7,74,0,0,1,0,0,0,0,0,0,0,0,26,3,5,3,6,1,0.17,0.02,0.19,0.36
8,Man Utd,0,1,19,0,0,0,0,0,0,0,1,0,0,0,-3,1,1,2,3,0,0.00,0.00,0.00,0.66
8,Leeds,24,2,63,2,1,1,0,0,0,0,0,0,0,3,68,2,1,4,6,1,0.81,0.05,0.86,0.17
8,Liverpool,2,3,90,0,0,0,1,0,0,0,0,0,0,0,7,5,4,2,7,1,0.09,0.05,0.14,0.52
8,Nott'm Forest,8,4,90,0,0,1,0,0,0,0,0,0,0,2,37,4,2,2,6,1,0.30,0.02,0.32,0.20
8,Man City,1,5,79,0,0,0,1,0,0,0,1,0,0,0,16,1,3,7,8,1,0.00,0.05,0.05,0.65
8,Newcastle,2,6,90,0,0,0,1,0,0,0,0,0,0,0,10,4,4,2,6,1,0.53,0.21,0.74,0.61
8,West Ham,11,7,90,0,1,1,0,0,0,0,0,0,0,2,43,3,3,6,9,1,0.16,0.03,0.19,0.49
9,Man Utd,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
9,Leeds,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
9,Liverpool,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
9,Nott'm Forest,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
