round,team_id,opponent_id,fixture_difficulty,was_home
19,15,3,2,False
19,7,4,3,True
19,4,7,4,False
19,16,9,3,True
19,9,16,3,False
19,19,6,3,True
19,6,19,2,False
19,1,2,3,True
19,2,1,5,False
19,14,20,2,True
19,20,14,4,False
19,8,10,2,True
19,10,8,3,False
19,12,11,2,True
19,11,12,4,False
19,5,18,3,True
19,18,5,4,False
19,17,13,4,True
19,13,17,4,False
20,2,16,2,True
20,16,2,4,False
20,6,3,1,True
20,3,6,3,False
20,20,19,2,True
20,19,20,2,False
20,4,1,4,True
20,1,4,3,False
20,11,14,3,True
20,14,11,3,False
20,9,5,3,True
20,5,9,3,False
20,15,8,3,True
20,8,15,4,False
20,18,17,2,True
20,17,18,3,False
20,10,12,3,True
20,12,10,3,False
20,13,7,3,True
20,7,13,5,False
21,19,16,2,True
21,16,19,2,False
21,4,18,3,True
21,18,4,3,False
21,5,17,2,True
21,17,5,4,False
21,8,2,3,True
21,2,8,3,False
21,9,20,2,True
21,20,9,3,False
21,10,7,3,True
21,7,10,3,False
21,13,6,3,True
21,6,13,5,False
21,3,14,3,True
21,14,3,2,False
21,15,11,2,True
21,11,15,4,False
21,1,12,3,True
21,12,1,5,False
22,14,13,4,True
22,13,14,4,False
22,7,5,3,True
22,5,7,4,False
22,11,10,2,True
22,10,11,3,False
22,12,3,1,True
22,3,12,4,False
22,18,19,2,True
22,19,18,3,False
22,17,8,3,True
22,8,17,4,False
22,16,1,4,True
22,1,16,3,False
22,20,15,3,True
22,15,20,2,False
22,2,9,3,True
22,9,2,4,False
22,6,4,3,True
22,4,6,3,False
23,19,17,2,True
23,17,19,2,False
23,3,18,3,True
23,18,3,2,False
23,10,6,3,True
23,6,10,3,False
23,13,20,2,True
23,20,13,5,False
23,4,12,3,True
23,12,4,3,False
23,5,16,2,True
23,16,5,4,False
23,8,7,3,True
23,7,8,3,False
23,15,2,3,True
23,2,15,4,False
23,1,14,3,True
23,14,1,5,False
23,9,11,2,True
23,11,9,3,False
24,6,9,3,True
24,9,6,3,False
24,11,1,4,True
24,1,11,3,False
24,20,4,3,True
24,4,20,2,False
24,7,19,2,True
24,19,7,4,False
24,12,15,3,True
24,15,12,4,False
24,2,5,3,True
24,5,2,4,False
24,14,10,2,True
24,10,14,4,False
24,16,8,3,True
24,8,16,3,False
24,18,13,4,True
24,13,18,3,False
24,17,3,1,True
24,3,17,4,False
25,11,16,2,True
25,16,11,3,False
25,14,18,3,True
25,18,14,4,False
25,1,17,2,True
25,17,1,5,False
25,4,2,3,True
25,2,4,3,False
25,3,19,2,True
25,19,3,2,False
25,10,9,3,True
25,9,10,3,False
25,20,7,3,True
25,7,20,2,False
25,15,5,3,True
25,5,15,4,False
25,6,8,3,True
25,8,6,3,False
25,12,13,4,True
25,13,12,4,False
26,7,11,2,True
26,11,7,4,False
26,9,4,3,True
26,4,9,3,False
26,18,15,3,True
26,15,18,3,False
26,19,14,3,True
26,14,19,2,False
26,2,6,3,True
26,6,2,4,False
26,13,10,2,True
26,10,13,5,False
26,16,20,2,True
26,20,16,3,False
26,8,3,1,True
26,3,8,3,False
26,17,12,3,True
26,12,17,4,False
26,5,1,4,True
26,1,5,4,False
26,20,1,4,True
26,1,20,2,False
27,2,11,2,True
27,11,2,4,False
27,5,6,3,True
27,6,5,4,False
27,7,3,1,True
27,3,7,4,False
27,19,4,3,True
27,4,19,2,False
27,13,15,3,True
27,15,13,5,False
27,8,20,2,True
27,20,8,3,False
27,16,12,3,True
27,12,16,3,False
27,17,10,2,True
27,10,17,4,False
27,18,1,4,True
27,1,18,3,False
27,9,14,3,True
27,14,9,3,False
28,20,2,3,True
28,2,20,2,False
28,4,17,2,True
28,17,4,3,False
28,3,5,3,True
28,5,3,2,False
28,12,19,2,True
28,19,12,4,False
28,15,9,3,True
28,9,15,4,False
28,11,13,4,True
28,13,11,3,False
28,6,16,2,True
28,16,6,3,False
28,10,18,3,True
28,18,10,3,False
28,14,8,3,True
28,8,14,4,False
28,1,7,3,True
28,7,1,5,False
29,4,5,3,True
29,5,4,3,False
29,9,3,1,True
29,3,9,3,False
29,11,17,2,True
29,17,11,3,False
29,20,12,3,True
29,12,20,2,False
29,2,7,3,True
29,7,2,4,False
29,6,1,4,True
29,1,6,3,False
29,10,19,2,True
29,19,10,3,False
29,13,16,2,True
29,16,13,5,False
29,15,14,3,True
29,14,15,4,False
29,18,8,3,True
29,8,18,3,False
30,19,13,4,True
30,13,19,2,False
30,3,4,3,True
30,4,3,2,False
30,8,11,2,True
30,11,8,3,False
30,17,6,3,True
30,6,17,4,False
30,7,15,3,True
30,15,7,4,False
30,1,9,3,True
30,9,1,5,False
30,14,2,3,True
