id,assists,bonus,bps,clean_sheets,clean_sheets_per_90,clearances_blocks_interceptions,defensive_contribution,defensive_contribution_per_90,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,form,web_name,goals_conceded,goals_conceded_per_90,goals_scored,minutes,now_cost,own_goals,penalties_missed,penalties_saved,position,recoveries,red_cards,saves,selected_by_percent,starts_per_90,tackles,team,team_name,total_points,transfers_in,transfers_out,yellow_cards
25,0,0,20,1,0.55,1,13,7.09,0.08,0.04,0.31,0.17,0.23,0.73,0.4,0.13,0.0,Nwaneri,0,0.0,0,165,50,0,0,0,Midfielder,10,0,0,0.1,0.0,2,1,Arsenal,8,13149,36725,0
26,1,9,499,13,0.5,97,239,9.13,1.86,0.07,4.42,0.17,2.56,18.21,0.7,0.1,4.8,Zubimendi,19,0.73,5,2355,53,0,0,0,Midfielder,93,0,0,5.4,1.03,49,1,Arsenal,109,1280989,903443,4
27,0,0,19,0,0.0,3,17,30.6,0.07,0.13,0.68,1.23,0.61,1.21,2.18,1.1,0.0,Nelson,1,1.8,0,50,48,0,0,0,Midfielder,12,0,0,0.1,0.0,2,5,Brentford,6,10354,17984,0
28,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Kabia,0,0.0,0,0,45,0,0,0,Midfielder,0,0,0,0.1,0.0,0,1,Arsenal,0,6731,30204,0
29,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Sambi,0,0.0,0,0,45,0,0,0,Midfielder,0,0,0,0.0,0.0,0,1,Arsenal,0,2952,14041,0
30,1,0,40,2,1.15,5,10,5.77,0.06,0.03,0.27,0.15,0.21,1.11,0.64,0.12,1.2,Havertz,0,0.0,0,156,73,0,0,0,Forward,3,0,0,0.6,1.15,2,1,Arsenal,8,109910,176404,0
31,0,0,68,0,0.0,4,26,7.7,0.19,0.06,1.94,0.58,1.75,3.56,1.05,0.52,1.2,G.Jesus,6,1.78,2,304,64,0,0,0,Forward,18,0,0,0.5,0.59,4,1,Arsenal,17,144983,95854,2
32,0,10,403,6,0.27,23,0,0.0,0.05,0.0,0.05,0.0,0.00,29.30,1.3,0.0,5.8,Martinez,20,0.89,0,2025,51,0,0,1,Goalkeeper,193,0,68,4.7,1.02,0,2,Aston Villa,95,892635,561714,2
33,0,0,51,1,0.22,6,0,0.0,0.00,0.0,0.00,0.0,0.00,8.53,1.9,0.0,0.0,M.Bizot,8,1.78,0,405,42,0,0,0,Goalkeeper,41,0,13,0.4,0.89,0,2,Aston Villa,11,83431,114179,2
34,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Gauci,0,0.0,0,0,40,0,0,0,Goalkeeper,0,0,0,0.1,0.0,0,2,Aston Villa,0,0,17212,0
35,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Marschall,0,0.0,0,0,40,0,0,0,Goalkeeper,0,0,0,0.0,0.0,0,2,Aston Villa,0,0,1255,0
36,2,6,380,7,0.28,99,142,5.76,2.37,0.1,3.41,0.14,1.04,33.22,1.35,0.04,2.4,Cash,23,0.93,3,2217,49,0,0,0,Defender,66,0,0,11.0,1.01,43,2,Aston Villa,101,2762227,1751161,5
37,4,4,282,6,0.41,52,78,5.36,2.21,0.15,2.75,0.19,0.54,20.25,1.39,0.04,1.4,Digne,13,0.89,0,1309,45,0,0,0,Defender,52,0,0,1.6,1.03,26,2,Aston Villa,72,305667,345130,3
38,1,3,425,8,0.31,136,154,5.99,0.52,0.02,1.53,0.06,1.01,36.30,1.41,0.04,4.6,Konsa,27,1.05,0,2315,44,0,0,0,Defender,81,1,0,8.1,1.01,18,2,Aston Villa,87,676007,1953446,0
39,0,0,195,2,0.16,56,90,7.15,1.74,0.14,2.59,0.21,0.85,17.79,1.41,0.07,3.6,Maatsen,15,1.19,0,1133,42,0,0,0,Defender,68,0,0,0.6,0.95,34,2,Aston Villa,38,77318,100360,2
40,1,4,148,3,0.35,62,65,7.48,0.34,0.04,0.99,0.11,0.65,12.82,1.48,0.07,3.4,Mings,8,0.92,0,782,43,0,0,0,Defender,22,0,0,0.7,1.04,3,2,Aston Villa,41,146552,191868,0
41,1,2,216,4,0.3,70,87,6.49,0.33,0.02,0.92,0.06,0.59,17.12,1.28,0.04,1.6,Pau,13,0.97,0,1206,43,1,0,0,Defender,63,0,0,0.3,0.97,17,2,Aston Villa,49,70073,94409,0
42,0,0,0,0,0.0,0,0,0.0,0.01,0.03,0.01,0.03,0.00,1.52,4.15,0.0,0.2,A.García,2,5.45,0,33,39,0,0,0,Defender,2,0,0,0.2,0.0,0,2,Aston Villa,2,27782,40297,0
43,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Alex Moreno,0,0.0,0,0,40,0,0,0,Defender,0,0,0,1.6,0.0,0,2,Aston Villa,0,44476,885799,0
44,0,4,110,2,0.27,23,39,5.3,0.16,0.02,0.16,0.02,0.00,9.46,1.29,0.0,2.2,Bogarde,8,1.09,0,662,40,0,0,0,Defender,23,0,0,0.5,0.95,16,2,Aston Villa,33,104314,87687,5
45,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Sousa,0,0.0,0,0,38,0,0,0,Defender,0,0,0,0.3,0.0,0,2,Aston Villa,0,22076,36284,0
46,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Yasin,0,0.0,0,0,40,0,0,0,Defender,0,0,0,0.1,0.0,0,2,Aston Villa,0,4656,20876,0
47,5,13,444,8,0.3,39,165,6.17,3.10,0.12,8.03,0.3,4.93,37.13,1.39,0.18,4.8,Rogers,28,1.05,8,2407,77,0,0,0,Midfielder,96,0,0,31.5,1.01,30,2,Aston Villa,127,5786185,2906108,5
48,4,3,289,4,0.28,33,138,9.59,2.53,0.18,3.50,0.25,0.97,23.03,1.6,0.07,0.6,Tielemans,17,1.18,0,1295,59,0,0,0,Midfielder,67,0,0,0.6,1.04,38,2,Aston Villa,52,158164,344934,0
49,0,0,21,0,0.0,1,22,10.42,0.61,0.29,0.82,0.39,0.21,1.54,0.73,0.1,1.2,Bailey,1,0.47,0,190,55,0,0,0,Midfielder,18,0,0,0.1,0.47,3,2,Aston Villa,6,5596,49373,0
50,2,8,259,3,0.22,23,136,10.0,1.46,0.11,4.17,0.31,2.71,18.83,1.38,0.2,3.2,Buendía,12,0.88,5,1224,53,0,0,0,Midfielder,80,0,0,0.6,1.1,33,2,Aston Villa,76,217705,173410,4
51,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Iling Jr,0,0.0,0,0,55,0,0,0,Midfielder,0,0,0,0.0,0.0,0,2,Aston Villa,0,1383,3780,0
52,1,1,149,0,0.0,13,83,9.29,0.82,0.09,1.67,0.19,0.85,14.90,1.67,0.1,3.2,J.Ramsey,19,2.13,1,804,53,0,0,0,Midfielder,50,0,0,0.2,0.78,20,15,Newcastle,30,25728,74197,3
53,2,3,161,1,0.14,2,16,2.25,0.35,0.05,4.38,0.62,4.03,10.59,1.49,0.57,0.0,Malen,10,1.41,4,640,51,0,0,0,Midfielder,10,0,0,0.4,0.7,4,2,Aston Villa,55,172896,337511,0
54,2,4,289,7,0.4,29,126,7.13,1.96,0.11,4.48,0.25,2.52,26.58,1.5,0.14,0.0,McGinn,21,1.19,3,1591,54,0,0,0,Midfielder,70,0,0,0.5,1.19,27,2,Aston Villa,71,208171,239958,3
55,1,0,75,0,0.0,7,24,11.61,0.29,0.14,0.86,0.42,0.57,3.09,1.5,0.28,0.6,Barkley,0,0.0,1,186,48,0,0,0,Midfielder,13,0,0,0.0,0.0,4,2,Aston Villa,18,5226,12036,0
56,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Barrenechea,0,0.0,0,0,50,0,0,0,Midfielder,0,0,0,0.0,0.0,0,2,Aston Villa,0,0,35,0
57,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Dobbin,0,0.0,0,0,50,0,0,0,Midfielder,0,0,0,0.0,0.0,0,2,Aston Villa,0,889,5426,0
58,3,7,282,5,0.32,46,149,9.51,0.84,0.05,1.36,0.08,0.53,20.80,1.33,0.03,0.0,Kamara,15,0.96,1,1410,49,0,0,0,Midfielder,65,0,0,0.2,1.09,38,2,Aston Villa,61,111334,117097,5
59,0,3,267,5,0.38,76,159,11.94,0.27,0.02,1.11,0.08,0.84,19.02,1.43,0.06,2.8,Onana,13,0.98,2,1198,48,0,0,0,Midfielder,49,0,0,0.7,1.13,34,2,Aston Villa,60,154822,269227,2
60,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Broggio,0,0.0,0,0,44,0,0,0,Midfielder,0,0,0,0.3,0.0,0,2,Aston Villa,0,38290,50287,0
61,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Dendoncker,0,0.0,0,0,45,0,0,0,Midfielder,0,0,0,0.1,0.0,0,2,Aston Villa,0,2169,33607,0
62,0,0,3,0,0.0,0,1,11.25,0.00,0.0,0.00,0.0,0.00,0.61,6.86,0.0,0.0,Jimoh-Aloba,0,0.0,0,8,45,0,0,0,Midfielder,1,0,0,0.1,0.0,0,2,Aston Villa,1,8790,10270,0
63,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Young,0,0.0,0,0,43,0,0,0,Midfielder,0,0,0,0.6,0.0,0,2,Aston Villa,0,102090,123486,0
64,2,11,347,8,0.36,14,69,3.12,1.00,0.05,10.72,0.49,9.72,31.23,1.41,0.44,2.8,Watkins,24,1.09,8,1989,86,0,0,0,Forward,38,0,0,9.0,1.04,17,2,Aston Villa,97,2180317,4109516,1
65,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Redmond,0,0.0,0,0,45,0,0,0,Forward,0,0,0,0.3,0.0,0,2,Aston Villa,0,17574,84789,0
66,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Neto,0,0.0,0,0,45,0,0,0,Goalkeeper,0,0,0,0.1,0.0,0,4,Bournemouth,0,0,16481,0
67,0,5,342,7,0.26,52,0,0.0,0.00,0.0,0.00,0.0,0.00,41.37,1.53,0.0,6.2,Petrović,45,1.67,0,2430,45,1,0,0,Goalkeeper,208,0,83,4.4,1.0,0,4,Bournemouth,85,871603,725439,2
68,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Dennis,0,0.0,0,0,40,0,0,0,Goalkeeper,0,0,0,0.8,0.0,0,4,Bournemouth,0,47217,84640,0
69,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,McKenna,0,0.0,0,0,39,0,0,0,Goalkeeper,0,0,0,0.2,0.0,0,4,Bournemouth,0,20419,17889,0
70,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Paulsen,0,0.0,0,0,40,0,0,0,Goalkeeper,0,0,0,0.1,0.0,0,4,Bournemouth,0,1107,10358,0
71,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Zabarnyi,0,0.0,0,0,50,0,0,0,Defender,0,0,0,0.0,0.0,0,4,Bournemouth,0,0,8195,0
72,4,6,367,7,0.27,269,313,12.26,3.97,0.16,5.21,0.21,1.24,39.42,1.54,0.05,4.2,Senesi,44,1.72,0,2298,49,0,0,0,Defender,109,0,0,15.8,1.02,44,4,Bournemouth,111,4673189,2990470,8
73,1,0,86,3,0.37,34,41,5.08,0.11,0.01,0.11,0.01,0.00,12.46,1.54,0.0,2.2,Smith,15,1.86,0,727,44,0,0,0,Defender,18,0,0,0.2,1.24,7,4,Bournemouth,30,25417,40725,2
74,2,7,348,7,0.26,146,220,8.29,1.71,0.06,2.10,0.07,0.39,39.07,1.47,0.01,5.2,Truffert,42,1.58,0,2388,45,0,0,0,Defender,132,0,0,1.9,1.02,74,4,Bournemouth,95,545993,405087,3
75,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Akinmboni,0,0.0,0,0,38,0,0,0,Defender,0,0,0,0.2,0.0,0,4,Bournemouth,0,14232,32110,0
76,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Bevan,0,0.0,0,0,38,0,0,0,Defender,0,0,0,0.2,0.0,0,4,Bournemouth,0,14561,18616,0
77,3,2,213,4,0.32,116,139,11.25,0.83,0.07,1.05,0.09,0.23,18.07,1.46,0.02,7.2,Hill,15,1.21,0,1112,40,0,0,0,Defender,33,0,0,5.1,0.89,23,4,Bournemouth,65,694434,141449,2
78,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,J.Araujo,0,0.0,0,0,38,0,0,0,Defender,0,0,0,0.5,0.0,0,4,Bournemouth,0,47440,131015,0
79,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Mepham,0,0.0,0,0,40,0,0,0,Defender,0,0,0,0.1,0.0,0,4,Bournemouth,0,1400,16656,0
80,0,0,2,0,0.0,0,1,2.65,0.00,0.0,0.00,0.0,0.00,1.62,4.29,0.0,0.0,Soler,2,5.29,0,34,40,0,0,0,Defender,4,0,0,0.2,0.0,1,4,Bournemouth,3,17332,32709,0
81,0,3,147,4,0.39,8,62,6.11,1.54,0.15,3.78,0.37,2.24,16.78,1.65,0.22,0.0,Kluivert,18,1.77,2,914,70,0,0,0,Midfielder,44,0,0,0.6,0.98,10,4,Bournemouth,40,190183,249935,4
82,6,17,503,7,0.27,37,193,7.44,2.27,0.09,10.99,0.43,8.72,37.65,1.45,0.34,6.8,Semenyo,44,1.7,13,2336,80,0,1,0,Midfielder,118,0,0,52.1,1.0,38,13,Man City,157,11149068,6060650,6
83,5,10,261,3,0.19,54,125,7.73,2.10,0.13,7.30,0.45,5.20,20.20,1.25,0.32,4.8,O.Dango,21,1.3,5,1456,59,0,0,0,Midfielder,57,0,0,1.4,0.99,14,5,Brentford,89,607744,457319,4
84,3,8,343,7,0.36,44,164,8.33,2.43,0.12,7.55,0.38,5.12,27.61,1.4,0.26,0.2,Tavernier,36,1.83,5,1772,53,0,0,0,Midfielder,93,0,0,1.1,1.02,27,4,Bournemouth,95,844114,799384,3
85,1,3,260,5,0.36,57,160,11.42,0.33,0.02,0.89,0.06,0.56,19.25,1.37,0.04,1.2,Adams,23,1.64,2,1261,49,0,0,0,Midfielder,66,0,0,0.3,1.14,37,4,Bournemouth,55,77728,92417,5
86,2,4,177,4,0.37,16,78,7.24,2.82,0.26,7.33,0.68,4.51,15.95,1.48,0.42,0.5,Brooks,17,1.58,1,969,50,0,0,0,Midfielder,47,0,0,0.2,1.02,15,4,Bournemouth,45,71870,77551,7
87,1,0,113,0,0.0,14,55,10.36,0.39,0.07,1.78,0.33,1.39,11.62,2.19,0.26,1.2,Christie,10,1.88,1,478,49,0,0,0,Midfielder,29,0,0,0.1,0.38,12,4,Bournemouth,25,9264,15364,1
88,1,0,184,1,0.1,56,143,14.79,0.52,0.05,0.59,0.06,0.07,13.49,1.4,0.01,2.0,Cook,18,1.86,0,870,49,0,0,0,Midfielder,62,1,0,0.1,0.83,25,4,Bournemouth,38,11702,7926,1
89,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Philip,0,0.0,0,0,49,0,0,0,Midfielder,0,0,0,0.0,0.0,0,4,Bournemouth,0,598,6627,0
90,2,6,411,7,0.32,93,257,11.87,1.31,0.06,3.89,0.18,2.58,33.74,1.56,0.12,6.0,Scott,33,1.52,2,1948,50,0,0,0,Midfielder,124,0,0,1.0,1.11,40,4,Bournemouth,95,192337,84654,2
91,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Sinisterra,0,0.0,0,0,50,0,0,0,Midfielder,0,0,0,0.0,0.0,0,4,Bournemouth,0,396,3888,0
